City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kupang,-10.1667,123.5833,32.32,66,40,3.09,ID,1699841600
1,carnarvon,-24.8667,113.6333,23.19,66,27,4.52,AU,1699841600
2,albany,42.6001,-73.9662,-0.76,80,0,1.36,US,1699841439
3,socorro,31.6546,-106.3033,16.38,66,75,4.12,US,1699841600
4,okhotsk,59.3833,143.3,-14.37,77,0,9.6,RU,1699841600
5,pudozh,61.8099,36.5345,2.75,98,100,2.68,RU,1699841601
6,wailua homesteads,22.0669,-159.378,28.24,81,75,8.75,US,1699841601
7,adamstown,-25.066,-130.1015,22.8,85,100,8.73,PN,1699841345
8,ribeira grande,38.5167,-28.7,18.21,83,100,4.02,PT,1699841601
9,magadan,59.5667,150.8,-9.15,60,100,3.38,RU,1699841602
10,stanley,54.868,-1.6985,6.51,93,75,2.57,GB,1699841602
11,thompson,55.7435,-97.8558,-1.91,100,100,0.0,CA,1699841603
12,ushuaia,-54.8,-68.3,9.81,53,75,3.6,AR,1699841603
13,wangjing,24.6,94.0333,15.99,73,37,0.79,IN,1699841358
14,namibe,-15.1961,12.1522,21.94,78,86,0.94,AO,1699841604
15,blackmans bay,-43.0167,147.3167,19.18,41,3,1.37,AU,1699841604
16,tsiombe,-25.3,45.4833,21.13,61,0,2.92,MG,1699841604
17,isafjordur,66.0755,-23.124,1.61,83,100,2.04,IS,1699841356
18,meadow lake,34.8014,-106.5436,11.38,31,0,2.28,US,1699841605
19,salinas,36.6777,-121.6555,16.11,87,100,2.57,US,1699841406
20,pacocha,-17.5833,-71.3333,18.72,87,100,2.55,PE,1699841605
21,bethel,41.3712,-73.414,1.94,73,0,0.0,US,1699841605
22,hadibu,12.65,54.0333,26.6,83,60,5.94,YE,1699841606
23,edinburgh of the seven seas,-37.0676,-12.3116,14.24,81,28,9.81,SH,1699841606
24,gwarzo,11.9152,7.9346,21.38,21,13,4.2,NG,1699841606
25,san antonio de pale,-1.4014,5.6325,26.2,83,30,5.09,GQ,1699841607
26,udachny,66.4167,112.4,-13.08,92,100,3.37,RU,1699841322
27,mankachar,25.5333,89.8667,22.67,73,0,2.77,IN,1699841607
28,naze,28.3667,129.4833,16.64,65,91,7.95,JP,1699841381
29,grytviken,-54.2811,-36.5092,2.86,90,100,2.04,GS,1699841608
30,port alfred,-33.5906,26.891,13.99,87,70,0.89,ZA,1699841369
31,enewetak,11.3474,162.3373,27.14,84,100,6.91,MH,1699841609
32,massawa,15.6097,39.45,28.73,68,74,0.51,ER,1699841609
33,gadzhiyevo,69.2551,33.3362,-10.31,96,94,4.42,RU,1699841609
34,chester,40.1254,-75.8749,1.98,81,0,2.57,US,1699841441
35,puerto ayora,-0.7393,-90.3518,24.75,91,61,3.13,EC,1699841321
36,iskateley,67.6803,53.1512,-11.66,94,43,2.24,RU,1699841336
37,prince rupert,54.3161,-130.3201,7.83,65,100,6.17,CA,1699841483
38,avarua,-21.2078,-159.775,24.03,60,100,3.09,CK,1699841611
39,susuman,62.7833,148.1667,-27.74,97,87,0.52,RU,1699841611
40,fort st. john,56.2499,-120.8529,-1.06,69,75,3.6,CA,1699841611
41,bilibino,68.0546,166.4372,-14.46,97,100,2.45,RU,1699841612
42,whitehorse,60.7161,-135.0538,-2.57,80,100,3.6,CA,1699841612
43,port sudan,19.6175,37.2164,28.2,76,8,0.55,SD,1699841612
44,port-aux-francais,-49.35,70.2167,4.34,76,100,1.92,TF,1699841345
45,barra do garcas,-15.89,-52.2567,26.78,42,100,0.76,BR,1699841613
46,ridder,50.355,83.5133,-1.21,96,100,2.01,KZ,1699841613
47,georgetown,5.4112,100.3354,31.64,74,20,1.03,MY,1699841486
48,afaahiti,-17.75,-149.2833,27.81,80,54,4.03,PF,1699841375
49,balakliya,49.4627,36.8595,7.78,79,94,7.32,UA,1699841614
50,nikolayevsk-on-amure,53.1406,140.73,-6.35,83,98,5.45,RU,1699841614
51,valley center,33.2184,-117.0342,20.06,34,99,1.22,US,1699841615
52,bogotol,56.2078,89.5342,1.23,95,100,4.4,RU,1699841615
53,medvezh'yegorsk,62.9167,34.4667,-1.6,82,100,5.29,RU,1699841616
54,cabo san lucas,22.8909,-109.9124,27.64,66,20,3.6,MX,1699841358
55,bandar lampung,-5.4254,105.258,29.15,69,96,1.38,ID,1699841617
56,conceicao da feira,-12.5058,-38.9986,19.62,88,0,1.58,BR,1699841617
57,waitangi,-43.9535,-176.5597,12.66,89,100,8.42,NZ,1699841617
58,klyuchi,52.2667,79.1667,4.38,85,99,5.01,RU,1699841318
59,dudinka,69.4058,86.1778,-2.43,96,100,5.22,RU,1699841362
60,vilyuchinsk,52.9306,158.4028,0.15,66,57,3.75,RU,1699841618
61,castillos,-34.1667,-53.8333,15.16,90,72,2.82,UY,1699841618
62,talnakh,69.4865,88.3972,-2.66,97,100,3.9,RU,1699841383
63,sabang,5.8933,95.3214,27.95,76,76,5.78,ID,1699841367
64,alva,56.1528,-3.8051,6.99,95,93,0.45,GB,1699841619
65,tazovsky,67.4667,78.7,-9.84,94,73,6.2,RU,1699841619
66,odda,60.0691,6.5457,6.54,92,75,2.23,NO,1699841619
67,yellowknife,62.456,-114.3525,-7.55,96,75,7.72,CA,1699841620
68,port lincoln,-34.7333,135.8667,17.1,64,100,5.32,AU,1699841346
69,atafu village,-8.5421,-172.5159,29.24,68,62,1.13,TK,1699841351
70,silute,55.3489,21.4831,7.14,74,100,6.47,LT,1699841620
71,yuzhno-kurilsk,44.0306,145.8556,2.43,80,69,1.88,RU,1699841620
72,andergrove,-21.0833,149.1833,29.8,53,0,4.61,AU,1699841621
73,kodiak,57.79,-152.4072,0.73,69,0,2.57,US,1699841370
74,coquimbo,-29.9533,-71.3436,14.18,73,2,3.33,CL,1699841597
75,east london,-33.0153,27.9116,14.88,68,56,4.09,ZA,1699841325
76,sao felix do xingu,-6.6447,-51.995,26.22,52,17,0.81,BR,1699841622
77,altai,46.3722,96.2583,-8.62,68,100,0.66,MN,1699841622
